id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Like
0TLAptKgYxe7F0KewWH6X6,I Need A Forest Fire,Bon Iver,0.293,0.29,2,-11.596,1,0.696,0.875,0.1,0.0373,128.276,257220,4,1
2y0rHDTckWQ7of6tI1yc82,Naked Life,Oko Ebombo,0.624,0.321,0,-9.776,1,0.463,0.056,0.103,0.304,73.996,255030,4,1
5nVE45ithgyVocZp5XLAk6,The Bug Collector,Haley Heynderickx,0.538,0.419,10,-9.705,1,0.777,0.329,0.0967,0.529,99.622,228460,4,1
66VuLX5s1nrZzzQqJqPbri,Simply Are,Arto Lindsay,0.682,0.694,7,-11.393,0,0.289,0.714,0.0961,0.954,173.851,224107,4,1
0X61Ud5Uzv44RvY3s1SsuO,Imogen,Nick Mulvey,0.493,0.584,5,-6.894,1,0.85,0.000353,0.114,0.234,86.909,255533,4,1
5waY6jcVBvzzS362OBQeAL,Levitate,The Palms,0.601,0.77,1,-5.825,1,0.142,0.00879,0.0718,0.616,170.018,229807,4,1
5nvBJUUseknA9qd9K0eGKU,Yours,Evann McIntosh,0.45,0.179,0,-10.996,1,0.917,0.0,0.0969,0.262,66.223,286407,4,1
1E2TPHygHwO5m602LLaQZ3,Samba,Lagum,0.893,0.46,3,-8.775,0,0.197,0.0,0.0796,0.865,126.021,160238,4,1
61IiPeXsNBGO7oOQ1hERU4,Do u Need Love?,Francis and the Lights,0.676,0.301,8,-10.619,1,0.878,0.000187,0.11,0.213,100.993,207080,3,1
1HsfrgMJMnpGofrLZi194h,Não Te Aborreças,Ganso,0.703,0.477,6,-11.049,0,0.365,0.000254,0.243,0.137,114.993,212840,4,1
2ZqBBIihnREkT5uwzAj1FQ,Embaraçado,Pedro de Tróia,0.556,0.717,11,-6.044,1,0.00363,0.0157,0.0819,0.379,122.014,217969,4,1
5lnLxpRxCDlqedyWgkBLOh,Easy (LIke Sunday Morning),Charles Givings,0.584,0.435,10,-11.736,0,0.301,0.00734,0.126,0.399,132.439,266320,4,1
3gsCAGsWr6pUm1Vy7CPPob,Killing Me Softly with His Song,Roberta Flack,0.477,0.381,5,-10.237,0,0.727,0.0,0.0615,0.329,121.568,286920,4,1
3AY6H68WNMDzWw9JhPW4Jv,"Fool's Gold - Recorded At RAK Studios, London",Niall Horan,0.576,0.185,6,-11.988,1,0.938,0.0,0.107,0.594,128.07,204295,4,1
0G2rnKyaA4p943iBiAKYY4,Nirvana,Scarlet Pleasure,0.762,0.387,9,-8.833,1,0.83,8.12e-06,0.124,0.529,102.964,235262,4,1
1Rk8MRTsBiUod0kYrWsl65,Chaplan Candy,rei brown,0.491,0.303,11,-10.783,1,0.567,0.64,0.119,0.0649,119.356,261500,4,1
34GxQYn11Cd7IYDnSJyJdk,I'm So Happy Now,Willie Wright,0.58,0.722,1,-6.52,0,0.0678,6.82e-06,0.0489,0.813,88.195,273347,4,1
