id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2aQ8NyRJcsQFgb8jwUil90,Que Bandeira,Evinha,0.755,0.537,1,-10.679,1,0.756,3.22e-06,0.355,0.811,93.393,149420,4
6d4KqeYESkFHMirUgE1Aa3,Não Vá,Tim Maia,0.658,0.741,2,-10.495,1,0.0443,0.00128,0.0603,0.928,103.283,307037,4
2OoOgl80tDTElnbMYfhJyH,Reggins,The Blackbyrds,0.645,0.383,5,-16.549,0,0.00495,0.611,0.0727,0.943,97.238,244800,4
5voWjUklIhjnNQU5aZCIm4,Dreaming About You,The Blackbyrds,0.744,0.292,4,-16.592,0,0.265,0.0959,0.0738,0.881,96.366,352400,4
2jHa1UWWuouaoFqE8I7W77,Never Let Her Go,David Gates,0.576,0.399,8,-14.764,1,0.233,2.22e-05,0.104,0.621,84.049,188813,4
5weybHbt8qsgrOG4ix7JJB,DD.008,J Dilla,0.838,0.545,2,-15.098,1,0.000101,0.829,0.198,0.788,105.605,99254,4
51JGdRIPPXszpQw2MTu8jX,Child Song,The Cinematic Orchestra,0.541,0.372,4,-13.353,0,0.705,0.851,0.11,0.273,89.841,314453,1
7bVnVPtcQTZXTDBizFc8Ex,Love Dance,Pages,0.736,0.296,0,-18.73,1,0.532,0.752,0.0855,0.275,123.919,128592,4
2C9QBdHZuObmiSG6mOTZFZ,Q & H - Lorenz Rhode Remix,Lorenz Rhode,0.81,0.826,3,-7.748,1,0.108,0.727,0.0725,0.741,120.972,413946,4
1KUqyZaFMpglFfxXzv4Aj6,Aleluia,Lincoln Olivetti,0.768,0.891,0,-6.081,1,0.24,0.00351,0.0531,0.854,108.57,232880,4
2BydLQAh7CUIFvSEqAMc4x,If You Want Me to Stay,Sly & The Family Stone,0.843,0.48,11,-11.574,0,0.28,0.000782,0.108,0.762,101.993,180493,4
4z2XNXfoN8xnVP3rYdOU0l,First Class,Khruangbin,0.582,0.392,4,-14.835,0,0.0649,0.92,0.645,0.603,83.057,286998,4
2ufnnZAVCoEoShQjdRgwS1,Onda,Cassiano,0.647,0.782,5,-7.475,0,0.139,0.0545,0.0621,0.884,99.859,464627,4
7gqjd3riJJUDxf6oTO9Zwm,Lockdown,Anderson .Paak,0.909,0.42,1,-7.042,0,0.137,0.000173,0.135,0.519,100.121,212480,4
3ABQnERMh5FrAlh35ZPIYM,Chuva Na Montanha,Lô Borges,0.467,0.517,7,-8.371,1,0.563,0.000538,0.115,0.409,67.135,165653,5
0T2onQaQuu9ylEkqXj2IBG,Entardecendo,João Donato,0.622,0.264,0,-17.433,1,0.95,0.919,0.0874,0.183,107.688,286773,4
4BdGO1CaObRD4La9l5Zanz,Sit Next to Me,Foster The People,0.638,0.738,6,-4.976,0,0.117,0.000384,0.689,0.657,97.021,243147,4
0kDpFPQgQYeZ7t04Quiwkn,I Loves You Porgy - 2013 Remastered Version,Nina Simone,0.477,0.0494,4,-21.157,1,0.956,2.21e-06,0.109,0.195,62.434,249782,4
06FCvd7rrRcF3DdvWH5Isp,LUST.,Kendrick Lamar,0.678,0.562,3,-9.197,0,0.193,0.0,0.104,0.566,94.241,307880,4
0FMgzGbCh8yNMibGY5L2cM,What Kinda Music - Jordan Rakei Remix,Yussef Dayes,0.724,0.614,10,-11.169,0,0.217,0.81,0.0919,0.755,114.857,340729,4
2mg44pZFfdC3Fng0T5F75C,A Nivel De... - Ao Vivo,João Bosco,0.557,0.426,5,-8.376,0,0.873,0.00149,0.655,0.601,116.701,179040,4
1RNhCr9LFn5CCp4OkDASAN,A Nível De... - Live,João Bosco,0.549,0.422,4,-9.148,0,0.534,3.88e-05,0.0983,0.718,94.881,219667,4
3YLvDt3GxFtzGG4rR9w0YP,Incompatibilidade de Gênios,Aldir Blanc,0.594,0.834,9,-11.919,0,0.457,0.00183,0.0792,0.829,104.779,152667,4
2bSF5Qs8IQE9RRaZIef7mO,High (feat. Danny Brown),Danny Brown,0.566,0.805,1,-8.32,1,0.186,0.0,0.428,0.616,118.965,177640,4
6XqBNBCqLypx0rubKLtkcC,A Nível De...,João Bosco,0.632,0.376,4,-11.302,0,0.527,5.11e-05,0.102,0.741,95.231,220067,4
79qOanF8L7C2Yo3GV4A4za,WHOO,Nick Hakim,0.536,0.689,7,-7.66,1,0.369,0.549,0.088,0.293,159.936,304733,3
4pHl2qsT75tXOMgzsTt7RI,LET IT OUT,Nick Hakim,0.258,0.514,0,-12.108,0,0.931,0.151,0.114,0.136,106.943,114777,4
6Irt9GvjTLQQDDgb3vqU0y,Sunson,Nils Frahm,0.615,0.243,10,-19.97,0,0.923,0.912,0.0982,0.162,100.052,550312,3
3KHsoy4gE6AzLF2z6OSIYt,City in the Sky,Elijah Fox,0.321,0.0438,0,-25.883,1,0.987,0.948,0.105,0.0515,103.27,126857,3
3phruPXfZK0flygaBXJ11f,I Remember,Robert Glasper,0.403,0.243,10,-19.436,1,0.955,0.542,0.289,0.166,75.639,358547,4
4yfxYfewh1Zy0gH8XbggjC,Before Our Eyes,Rafiq Bhatia,0.374,0.632,5,-8.415,1,0.00209,0.868,0.144,0.536,180.004,230553,4
7zfmhBiUvGoHz76NO1d5bZ,I Got a Story to Tell - 2014 Remaster,The Notorious B.I.G.,0.88,0.813,1,-5.589,1,0.227,0.013,0.0581,0.603,94.071,283053,4
47w6S27JF4Zvrz1Wd6R66Z,What Kinda Music,Yussef Dayes,0.523,0.56,5,-9.423,0,0.0532,0.83,0.0981,0.151,96.167,230470,4
2lXFtsU8naRn2mC0DACJEl,Festival,Yussef Dayes,0.414,0.478,10,-11.783,0,0.322,0.396,0.0773,0.129,152.05,282408,4
5TgZ7lOUugOdabBcD9a6ud,Nightrider,Freddie Gibbs,0.729,0.571,11,-9.188,0,0.0774,0.213,0.0994,0.582,81.486,300991,4
