id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
7ytR5pFWmSjzHJIeQkgog4,ROCKSTAR (feat. Roddy Ricch),Roddy Ricch,0.746,0.69,11.0,-7.956,1.0,0.247,0.0,0.101,0.497,89.977,181733.0,4.0
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,0.514,0.73,1.0,-5.934,1.0,0.00146,9.54e-05,0.0897,0.334,171.005,200040.0,4.0
2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Lil Wayne,0.904,0.723,11.0,-5.224,0.0,0.0631,0.0,0.185,0.835,145.013,227478.0,4.0
5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),Beyoncé,0.822,0.743,10.0,-4.772,0.0,0.016,0.0,0.127,0.636,84.459,242001.0,4.0
7fPuWrlpwDcHm5aHCH5D9t,Roses - Imanbek Remix,Imanbek,0.785,0.721,8.0,-5.457,1.0,0.0149,0.00432,0.285,0.894,121.962,176219.0,4.0
0PvFJmanyNQMseIFrU708S,For The Night (feat. Lil Baby & DaBaby),DaBaby,0.823,0.586,6.0,-6.606,0.0,0.114,0.0,0.193,0.347,125.971,190476.0,4.0
1e9oZCCiX42nJl0AcqriVo,Watermelon Sugar,Harry Styles,0.548,0.816,0.0,-4.209,1.0,0.122,0.0,0.335,0.557,95.39,174000.0,4.0
6wJYhPfqk3KGhHRG76WzOh,Blueberry Faygo,Lil Mosey,0.774,0.554,0.0,-7.909,1.0,0.207,0.0,0.132,0.349,99.034,162547.0,4.0
11VApNQCWLJdzxWrlmwzUa,Say So (feat. Nicki Minaj),Nicki Minaj,0.856,0.641,11.0,-4.64,0.0,0.119,4.97e-06,0.427,0.745,111.004,206221.0,4.0
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),Quavo,0.806,0.546,9.0,-6.637,1.0,0.3,0.0,0.102,0.874,147.986,212867.0,4.0
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),Roddy Ricch,0.49,0.618,1.0,-5.655,1.0,0.0221,3.77e-06,0.259,0.286,99.7,201600.0,4.0
1M4qEo4HE3PRaCOM7EXNJq,Adore You,Harry Styles,0.676,0.771,8.0,-3.675,1.0,0.0237,7e-06,0.102,0.569,99.048,207133.0,4.0
21jGcNKet2qwijlDFuPiPb,Circles,Post Malone,0.695,0.762,0.0,-3.497,1.0,0.192,0.00244,0.0863,0.553,120.042,215280.0,4.0
