id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0GzmMQizDeA2NVMUaZksv0,Mi Gente (feat. Beyoncé),Beyoncé,0.759,0.716,11,-6.36,0,0.0223,0.0,0.231,0.469,105.009,209733,4
0ofbQMrRDsUaVKq2mGLEAb,Havana,Young Thug,0.768,0.517,7,-4.323,0,0.186,3.8e-05,0.104,0.418,104.992,216897,4
0KyzXQhY2yzcb1FYCHkZc2,Blessed,Daniel Caesar,0.448,0.263,11,-11.98,1,0.824,1.91e-06,0.106,0.451,109.889,241371,1
37nD8NJhod8BEZ6EGYo2gT,The Joke,Brandi Carlile,0.397,0.597,7,-5.341,1,0.358,7.79e-05,0.206,0.242,75.04,279373,4
0tV8pOpiNsKqUys0ilUcXz,Rise Up,Andra Day,0.398,0.316,1,-7.031,1,0.805,0.0,0.295,0.174,118.582,253342,4
45XhKYRRkyeqoW3teSOkCM,Wild Thoughts (feat. Rihanna & Bryson Tiller),Bryson Tiller,0.613,0.681,8,-3.089,1,0.0287,0.0,0.126,0.619,97.621,204664,4
7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,Kendrick Lamar,0.908,0.621,1,-6.638,0,0.000282,5.39e-05,0.0958,0.421,150.011,177000,4
0EYp0WyTMoYmBX2J0SMnAe,La Dame et Ses Valises,Nneka,0.541,0.443,2,-10.429,1,0.089,0.00104,0.087,0.674,137.622,244192,4
3B54sVLJ402zGa6Xm4YGNe,Unforgettable,Swae Lee,0.726,0.769,6,-5.043,1,0.0293,0.0101,0.104,0.733,97.985,233902,4
1HAzsv7VCvbgqrpenTRWj1,The System Only Dreams in Total Darkness,The National,0.596,0.912,0,-6.74,0,0.156,0.794,0.584,0.371,110.013,236747,4
6Nle9hKrkL1wQpwNfEkxjh,Chanel,Frank Ocean,0.776,0.503,0,-5.732,0,0.874,0.0,0.112,0.473,110.134,210285,4
6QgjcU0zLnzq5OrUoSZ3OK,Feel It Still,Portugal. The Man,0.801,0.795,1,-5.115,0,0.0417,0.000113,0.0717,0.754,79.028,163253,4
1yxgsra98r3qAtxqiGZPiX,BUTTERFLY EFFECT,Travis Scott,0.763,0.598,11,-6.865,1,0.0714,0.0,0.112,0.182,140.987,190678,4
5GM6ToJIXaAHWQKbkTzfGS,Matter of Time,Sharon Jones & The Dap-Kings,0.545,0.576,9,-7.965,1,0.611,0.0,0.102,0.472,66.423,202427,4
7E3tQstQpfrQ9Pmq5EYllF,Little Bit,Mavis Staples,0.804,0.463,5,-8.873,1,0.241,0.0167,0.124,0.662,84.241,230893,4
68JS5SFTnW5Yv9Vzw81Jf0,Millionaire,Chris Stapleton,0.616,0.474,10,-9.608,1,0.192,0.00762,0.0989,0.493,142.689,210133,4
5ELRkzdzz0HvGpMDlfZHkV,Sign of the Times,Harry Styles,0.518,0.575,5,-4.616,1,0.0259,0.0,0.109,0.209,120.019,340707,4
2fXwCWkh6YG5zU1IyvQrbs,Broken Clocks,SZA,0.684,0.683,6,-7.366,1,0.13,0.0,0.156,0.406,112.856,231253,4
5K8cyMKcnG4rx5ocW3u7OW,Ordinary Love - Extraordinary Mix,U2,0.617,0.621,11,-10.233,1,0.0207,3.8e-05,0.0879,0.378,124.992,227173,4
0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,Bruce Springsteen,0.398,0.952,4,-6.042,1,0.000373,7.75e-05,0.1,0.584,122.093,278680,4
3BtuIIrQlkujKPuWF2B85z,Too Good,Rihanna,0.794,0.653,7,-7.839,1,0.0489,4.88e-05,0.1,0.397,117.996,263373,4
2vLaES21zwbX1Rnmj56Bbb,I'll Be Around,The Spinners,0.593,0.791,8,-8.698,0,0.175,0.0,0.0976,0.63,112.295,188800,4
7oqftogUN82Q7VNy2TmTJW,MOOD 4 EVA (feat. Oumou Sangaré),Oumou Sangaré,0.608,0.709,7,-6.175,1,0.119,0.0,0.337,0.709,105.742,272069,4
68vxG1i6RSmrsY9mRdqDgG,Burning,Maggie Rogers,0.735,0.688,5,-5.471,1,0.21,3.11e-05,0.106,0.282,110.045,213173,4
2y2TNx72H4oE01TkztsAR6,Fade Out Lines - The Avener Rework,Phoebe Killdeer,0.876,0.731,8,-5.823,0,0.0174,0.101,0.107,0.7,119.009,276600,4
0k664IuFwVP557Gnx7RhIl,Juice,Lizzo,0.767,0.889,7,-2.988,1,0.00611,0.0,0.402,0.843,119.93,195145,4
1I7zHEdDx8Ny5RxzYPqsU2,Reelin' In The Years,Steely Dan,0.523,0.758,2,-9.81,1,0.133,0.0,0.0952,0.766,135.437,277267,4
0Lz1NsgPykKrwVnsFCmY2R,Who's Loving You,Terence Trent D'Arby,0.467,0.377,5,-14.441,1,0.406,5.69e-06,0.0595,0.503,161.112,261360,3
1QvWxgZvTU0w8rlPRE5Zrv,Don't You Worry 'Bout A Thing,Stevie Wonder,0.714,0.726,11,-9.218,1,0.0316,0.0,0.066,0.92,124.71,284840,4
6Ic2MP2hzoBLe3r1VIle8J,Joke Ting (feat. Ari PenSmith),Ari PenSmith,0.83,0.594,5,-5.4,0,0.188,4.85e-06,0.0881,0.718,140.006,180053,4
7yMYqHqzye8vtyiHqdVlZw,Seventeen,Sharon Van Etten,0.538,0.77,5,-7.376,1,0.0158,0.214,0.0686,0.238,127.103,265920,4
0uEp9E98JB5awlA084uaIg,Doo Wop (That Thing),Ms. Lauryn Hill,0.535,0.505,2,-8.926,0,0.0393,0.0,0.0923,0.495,99.935,320267,4
2OPANrnimcwWcVQuDk8ibD,100 Yard Dash,Raphael Saadiq,0.895,0.876,1,-5.073,0,0.436,0.0,0.0557,0.927,109.724,138427,4
3aEJMh1cXKEjgh52claxQp,I've Got You Under My Skin - Remastered 1998,Frank Sinatra,0.585,0.247,1,-12.612,1,0.452,8.85e-06,0.107,0.591,127.15,223760,4
4OBZT9EnhYIV17t4pGw7ig,Best Part (feat. Daniel Caesar),Daniel Caesar,0.473,0.371,4,-10.219,0,0.795,0.0,0.109,0.413,75.208,209400,4
3KapR70eIR6Zm3kJfG4oB3,Feel The Vibe,Anderson .Paak,0.631,0.8,2,-6.546,0,0.188,0.000533,0.64,0.857,87.482,240884,4
0TK2YIli7K1leLovkQiNik,Señorita,Camila Cabello,0.759,0.54,9,-6.039,0,0.037,0.0,0.0945,0.75,116.947,190960,4
1blShRPwUlmJlmU6yxbifG,Drift Away,Dobie Gray,0.516,0.318,11,-14.061,1,0.51,0.0,0.125,0.525,76.199,233707,4
3hl063NQxiuWyymhgaLf92,Hold On (Change Is Comin'),Sounds Of Blackness,0.685,0.836,1,-4.783,1,0.0437,3.87e-06,0.0175,0.848,93.023,260707,4
3yrSvpt2l1xhsV9Em88Pul,Brown Eyed Girl,Van Morrison,0.491,0.583,7,-10.964,1,0.182,0.0,0.407,0.907,150.572,183307,4
3qbH2rDPdfLDgzAj9HUmPH,I Love You More Than You'll Ever Know,Donny Hathaway,0.304,0.219,0,-15.617,0,0.738,0.000618,0.112,0.199,86.239,322867,3
6Vmow8PuUaU7W1T2WWLZk2,Go Gina,SZA,0.603,0.606,9,-6.634,1,0.799,0.0,0.391,0.463,80.176,161613,4
6H0AwSQ20mo62jGlPGB8S6,It's A Vibe,Jhené Aiko,0.822,0.502,7,-7.38,1,0.0312,0.000887,0.114,0.525,73.003,210200,4
5iUQMwxUPdJBFeGkePtM66,Dang! (feat. Anderson .Paak),Anderson .Paak,0.836,0.67,5,-6.907,0,0.00826,0.000355,0.0837,0.556,107.018,305350,4
2cvztQuBIxwV38kg1Ydaww,How High The Moon - 1st Take,Ella Fitzgerald,0.678,0.467,5,-5.177,0,0.814,0.0,0.11,0.625,112.846,195427,4
6IFOw9Ck9mWHRQgw6QrPYx,Music (feat. Marvin Gaye),Marvin Gaye,0.897,0.466,10,-9.053,0,0.187,1.35e-06,0.0757,0.884,100.01,223133,4
