id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
2ioRyqcIHHd4GQYbCA9OFq,Bunker,Shannen SP,0.621,0.899,1,-7.601,0,0.263,0.000634,0.278,0.396,79.875,231012,4
0gU9YnQzBN6dliMA0BDYZs,Homogenized Milk,Special Interest,0.464,0.967,1,-8.12,0,1.68e-06,0.934,0.151,0.397,145.954,118497,4
5aUN0JnYZ7IDX2txwK7S7K,Don't Kiss Me in Public,Special Interest,0.434,0.8,6,-7.673,0,2.1e-06,0.794,0.129,0.401,154.918,158824,4
39mjm6wt4HJKH9CSEzLxsG,America,Sufjan Stevens,0.228,0.496,4,-11.547,0,0.857,0.639,0.0591,0.0362,121.117,749997,4
0EtcGmf2mVZbHWq2ZGP3t7,Spotlight,Jessie Ware,0.632,0.762,11,-8.555,0,0.0358,0.49,0.119,0.164,115.021,331933,4
1TZpVXWfeFsnoTz6idYnkW,Adore You,Jessie Ware,0.669,0.668,10,-11.039,0,0.299,0.199,0.105,0.201,106.989,226373,4
5tVbKij7vNLI0psFkkzyew,Gasoline,HAIM,0.68,0.714,1,-4.557,0,0.0675,0.00455,0.117,0.561,133.127,193373,4
0qcGEgckzEMycwSqY3fzz7,Los Angeles,HAIM,0.713,0.691,11,-5.011,1,0.0311,0.000927,0.0987,0.517,99.969,200000,4
6WbTTAGKrQtCQvmc5BuYfh,Girls in the Hood,Megan Thee Stallion,0.821,0.863,6,-3.159,1,0.00824,0.0,0.0377,0.874,180.013,154324,4
3iEbpvvr4Y8F7sQshQY1pS,Night Echoes,Kareem Ali,0.818,0.767,11,-8.278,0,0.0444,0.000286,0.347,0.38,128.059,316865,4
6IXZvjLHjcCiwZRCQkCMp7,Street Pulse Beat,Special Interest,0.496,0.912,1,-6.613,1,3.39e-06,0.885,0.196,0.122,139.927,270148,4
5uQRmdIqyMmKPWJcot4UmV,Garden Song,Phoebe Bridgers,0.528,0.273,0,-16.623,1,0.864,0.00617,0.111,0.158,98.311,219682,4
44spdItKKM7rOtKswbBG0U,Graceland Too,Phoebe Bridgers,0.44,0.34,10,-10.37,1,0.872,0.0,0.116,0.361,150.128,236350,4
5AJT2Tk8mnDEnCtsikWVu2,I Contain Multitudes,Bob Dylan,0.513,0.0816,0,-19.555,1,0.934,0.000132,0.108,0.129,132.491,276733,4
3BQnez3qUm6hdKwxXly7Rw,My Own Version of You,Bob Dylan,0.599,0.219,9,-19.148,1,0.886,0.000195,0.0891,0.214,170.841,401360,3
1hIS4cbc3yOt1bq6Tduagb,Tell You the Truth,JoogSzn,0.667,0.867,5,-5.85,1,0.546,0.0,0.103,0.673,94.129,217803,4
1oOFNBBi5La2s3jLOYvWoz,Backflip or Sumn,JoogSzn,0.648,0.704,10,-11.1,0,0.341,8.37e-05,0.2,0.772,89.051,201500,4
1EjzcBTVLV7ATtdsQwyV31,yankee and the brave (ep. 4),Run The Jewels,0.595,0.878,10,-5.63,0,0.172,0.0,0.303,0.746,82.007,146573,4
3vrOmd6lTTKXGjaYeq8kni,never look back,Run The Jewels,0.848,0.721,1,-8.791,1,0.134,0.000119,0.11,0.46,114.017,177187,4
3ATweXqVnpCWvAAUP2nCXs,Off Tha Strength,keiyaA,0.344,0.826,6,-5.971,0,0.67,0.000399,0.0731,0.526,81.796,152000,4
1KoVZ5Ailf8Txpn0EUuijm,I'm Deadass,Medhane,0.479,0.889,5,-5.705,0,0.711,0.00104,0.496,0.659,84.012,102813,4
5zNIVsxQGQYq3WAu13tkmn,insula,Moses Sumney,0.2,0.534,7,-12.886,1,0.478,0.871,0.0897,0.626,61.984,46960,4
4MswUZzge6KN5dmD8d77jk,before you go,Moses Sumney,0.608,0.319,2,-17.424,1,0.893,0.926,0.104,0.237,137.438,125813,4
4pCo0hx75daUKKkfi1XXOO,Jason,Perfume Genius,0.517,0.325,1,-7.599,1,0.35,1.8e-05,0.0847,0.343,73.375,185827,3
0iG3mAyMzBJPelgMs5xUAj,Your Body Changes Everything,Perfume Genius,0.706,0.751,1,-6.262,1,0.334,0.11,0.13,0.655,107.251,253560,3
0Pi8LSlZQkuad1RUvaLUbr,Angel,Standing On The Corner,0.385,0.702,2,-6.093,1,0.0492,0.0666,0.26,0.254,132.288,265227,3
6hJ11P5ojoMyBRBMQdjNcH,Money Is The One True God,Blake Mills,0.285,0.179,4,-17.478,0,0.957,0.767,0.107,0.317,178.025,415867,4
1xF030urgdbtdHHOgwRGgy,Summer All Over,Blake Mills,0.325,0.054,6,-21.665,1,0.965,0.74,0.102,0.0897,163.295,295453,3
0a0PxP0MTm9bsNOw7kdi7K,We,The Soft Pink Truth,0.717,0.367,0,-8.818,1,0.267,0.917,0.111,0.0498,125.99,329500,4
5v4GgrXPMghOnBBLmveLac,Savage Remix (feat. Beyoncé),Beyoncé,0.822,0.743,10,-4.772,0,0.016,0.0,0.127,0.636,84.459,242001,4
2arFCnIZKZnFFl1OxQJCqV,On,The Soft Pink Truth,0.391,0.186,0,-22.133,1,0.973,0.937,0.928,0.0608,120.087,282500,4
2MRo59IW5O13nu0BIBqhW0,For You,India Jordan,0.628,0.889,11,-6.675,1,0.0336,0.464,0.0822,0.886,138.005,337893,4
0KuEa4sgdWK2hIy4xwxVUr,WHOLE WORLD (feat. Maxo),Maxo,0.647,0.453,4,-11.782,1,0.584,0.0058,0.111,0.427,142.397,207515,4
1TrlxM7oO1pQYDLPM8AOiB,Hvnli,keiyaA,0.352,0.412,6,-14.873,0,0.643,0.422,0.354,0.563,104.937,189922,4
40bHMHpC762qf5pz3DSYMg,Negus Poem 1 & 2,keiyaA,0.478,0.371,8,-17.575,1,0.67,0.00143,0.112,0.356,79.608,214500,4
7eGoc6UmwiRAVnilTZajNC,Cosmonauts,Fiona Apple,0.547,0.472,0,-9.218,1,0.702,0.0,0.168,0.537,113.705,239310,4
0jH0IsCBGackT3RmHBbSUI,Ladies,Fiona Apple,0.562,0.307,6,-9.629,0,0.645,0.000551,0.107,0.28,133.836,325373,3
46LX0sSwIU4GFLcj23ZfMA,Gospel For A New Century,Yves Tumor,0.565,0.726,0,-6.715,1,0.00181,3.06e-06,0.103,0.715,178.078,198627,4
4chSRXrdadYm2ujaCyP3Cf,Super Stars,Yves Tumor,0.531,0.619,1,-7.285,1,0.00368,1.87e-05,0.0912,0.566,149.007,185560,4
0wPmVxQnJVmjKB8k3W4qq2,QADIR,Nick Hakim,0.577,0.712,8,-4.375,0,0.245,0.0143,0.0715,0.349,142.056,452032,4
55dw4v6Uw6lmqGUxM6vdzV,Murder Most Foul,Bob Dylan,0.361,0.174,0,-19.751,1,0.83,0.000512,0.0903,0.106,76.976,1014787,4
3yTTvsCA6oE8NZCjdQCejz,Oxbow,Waxahatchee,0.564,0.371,0,-12.268,1,0.521,0.000559,0.103,0.369,140.187,173093,4
5GFMJHEKCckGDUWGzBvrZJ,The Eye,Waxahatchee,0.539,0.447,10,-12.549,1,0.556,4.07e-05,0.114,0.578,173.977,258320,4
2jxHuRjSe2UYyuQNscjnx5,Witness,Lyra Pramuk,0.123,0.349,9,-10.906,0,0.908,0.558,0.0993,0.0361,148.08,452484,4
5c3MNRkVbOmJ2NrGkEQuaH,Mirror,Lyra Pramuk,0.307,0.48,5,-10.653,1,0.656,0.903,0.288,0.0599,179.217,184968,3
3cyJdcpXplwiAtvIvXssnE,Vanishing Twin,Blake Mills,0.375,0.156,6,-10.589,1,0.902,0.65,0.115,0.147,116.613,376872,4
7lWkreHFTUhYyLy1GRQk7O,The Overwhelming Event,Jay Electronica,0.278,0.428,5,-8.604,0,0.898,0.000833,0.171,0.0783,74.341,137004,4
5wJC8qlivbwAx29bnTecSn,A.P.I.D.T.A.,Jay Electronica,0.498,0.625,0,-10.678,1,0.145,0.00481,0.113,0.403,129.779,328366,4
36yzYaU0lRagD2uKo6ELwY,Fox,Dogleg,0.5,0.99,7,-4.001,1,0.000148,0.00737,0.187,0.176,100.069,170000,4
0yKg9SbwFfhvlMAZ1TX6rj,Kawasaki Backflip,Dogleg,0.221,0.993,1,-3.474,1,4.9e-05,0.000719,0.347,0.196,195.809,144027,4
67WYyxMKmuFd7E4pELpwcm,Born Confused,Porridge Radio,0.491,0.846,11,-4.071,0,0.00246,0.0,0.261,0.701,97.999,181213,4
0eebY457abvGirVtzV6Fa3,Don't Ask Me Twice,Porridge Radio,0.487,0.875,4,-5.223,0,0.00303,0.00469,0.154,0.657,88.823,201107,4
4B2oBPbkxxmTOuIHmPryic,The Neverending Story,Jay Electronica,0.261,0.547,5,-8.422,0,0.0478,1.15e-05,0.177,0.155,72.394,260723,4
