id,title,main_artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year
7gARZ2i5u5DHC1b1n1fML5,Breezeblocks,alt-J,0.569,0.645,5,-7.368,1,0.118,0.00114,0.146,0.247,74.985,227080,4,2016
0LPNhjjjg432PrqsDUcLjs,Sleep by Rivers,Kyle Lionhart,0.639,0.361,9,-13.296,1,0.67,0.000333,0.121,0.407,86.53,241023,4,2016
1xCkZYGKDv7ELjSlIKedOy,No Diggity,Chet Faker,0.672,0.506,2,-12.013,0,0.589,2.38e-05,0.0925,0.5,79.974,225000,4,2016
1lzr43nnXAijIGYnCT8M8H,It Wasn't Me,Rik Rok,0.853,0.606,0,-4.596,1,0.0561,0.0,0.313,0.654,94.759,227600,4,2016
7iL6o9tox1zgHpKUfh9vuC,In Da Club,50 Cent,0.899,0.713,6,-2.752,0,0.255,0.0,0.0708,0.777,90.051,193467,4,2016
7bTwYGhBdSQ8vuXc76Xint,Ophelia,The Lumineers,0.667,0.58,5,-6.412,1,0.605,0.000231,0.0849,0.579,76.241,160097,4,2016
0240T0gP9w6xEgIciBrfVF,Talk Is Cheap,Chet Faker,0.656,0.61,0,-7.894,0,0.416,0.000172,0.245,0.52,140.058,218067,4,2016
1VNKX7xOD6eRKocHks3YKu,Class a Girl,Kyle Lionhart,0.456,0.4,8,-10.638,0,0.569,0.000431,0.232,0.266,58.564,232525,4,2016
7gWuvpjf7ghzYSQoGQuU3d,Pica Do 7,António Zambujo,0.71,0.443,9,-7.254,1,0.798,7.35e-06,0.109,0.627,91.098,251664,3,2016
765sQC7Bazh6ZeuWiB4vVK,Drop The Game,Chet Faker,0.559,0.67,7,-4.985,1,0.592,0.000184,0.171,0.438,78.957,221895,4,2016
4Gn4nVCqfOwm1BH57QeDmd,Slow Sips,Kyle Lionhart,0.33,0.188,3,-14.328,1,0.898,1.19e-05,0.0915,0.0848,82.192,268636,1,2016
6KprCGVC5o2Ibj2wCtaxEV,Sleep On The Floor,The Lumineers,0.391,0.442,0,-8.076,1,0.298,0.0,0.13,0.246,142.56,211851,4,2016
126TblwXGNTUZ7RPMnThkU,Left Hand Free,alt-J,0.698,0.876,3,-4.45,1,0.452,0.0133,0.0824,0.81,101.992,173631,4,2016
0My8NPmENHrN5W7OfgZnZJ,The One,Kodaline,0.43,0.587,9,-8.003,1,0.654,8.83e-05,0.158,0.332,156.006,232520,4,2016
1xznGGDReH1oQq0xzbwXa3,One Dance,Kyla,0.791,0.619,1,-5.886,1,0.00784,0.00423,0.351,0.371,103.989,173987,4,2016
3SX3avuJK7qpCemnzI1Vp0,Compromise,Kyle Lionhart,0.592,0.404,11,-10.809,0,0.568,3.55e-06,0.116,0.128,114.576,254667,4,2016
0HV1cGoX5ASBlPA1pqH8fG,Every Other Freckle,alt-J,0.528,0.707,2,-7.626,1,0.625,0.0355,0.116,0.502,143.802,216004,4,2016
3Z0YN50RzRtmYre1bRG8H6,Hunger Of The Pine,alt-J,0.6,0.416,7,-9.553,1,0.776,0.0265,0.109,0.0786,93.625,299711,4,2016
1DIg9155AY65dpR5Lf5Vg4,Honest,Kodaline,0.389,0.758,0,-5.662,1,0.00389,0.0,0.167,0.318,154.919,218933,4,2016
3M0pROlXyH0bzh9CNJhDOJ,Angela,The Lumineers,0.656,0.572,4,-8.162,1,0.653,0.000179,0.113,0.319,130.37,201786,4,2016
3u9fHuAtjMY1RW2mZfO4Cf,Gangsta's Paradise (feat. L.V.),L.V.,0.641,0.63,8,-6.393,1,0.0372,0.0,0.4,0.415,79.955,241933,4,2016
6gP9gjBR6KQ4T2pw9CLtkj,Fitzpleasure,alt-J,0.573,0.6,9,-6.943,1,0.142,0.00146,0.102,0.352,143.957,219387,4,2016
0h5m65o5KnMFB4Gq47mbKt,Candy Shop,Olivia,0.619,0.578,11,-8.002,1,0.0214,3.37e-05,0.387,0.731,123.719,208144,5,2016
2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Freshlyground,0.766,0.873,11,-6.381,0,0.00627,0.0,0.0764,0.743,126.988,202627,4,2016
